DiamondsAreForever, 493
VanHelsing, 491
HighSchoolMusical, 491
ApocalypseNow, 489
Interstellar, 488
Hook, 488
TheSpyWhoLovedMe, 488
TheLeagueOfExtraordinaryGentlemen, 487
HellboyIITheGoldenArmy, 487
TheMuppets, 485
FlashGordon1980, 484
Shazam2019, 482
Moonraker, 477
StarTrekNemesis, 476
AliceInWonderland2010, 475
Snatch, 474
Braveheart, 473
Terminator3RiseOfTheMachines, 472
Jumanji, 470
StreetFighter, 469
AntManAndTheWasp, 468
TropicThunder, 465
Prometheus, 464
PiratesOfTheCaribbeanOnStrangerTides, 464
Ghostbusters2016, 463
JohnWick, 463
SupermanReturns, 463
BeautyAndTheBeast2017, 462
TheBoondockSaints, 462
Zombieland, 461
ConanTheBarbarian1982, 460
MontyPythonsLifeOfBrian, 460
TheAddamsFamily, 460
Dredd, 459
TheMummyReturns, 456
WaynesWorld, 456
EdgeOfTomorrow, 455
TheManWithTheGoldenGun, 455
ZackSnydersJusticeLeague, 453
Constantine, 453
JurassicWorldFallenKingdom, 451
DrNo, 451
Troy, 451
KungFuHustle, 451
SavingPrivateRyan, 450
Clue, 449
QuantumOfSolace, 449
TrueLies, 448
OceansEleven, 448
PoliceAcademy, 448
TeamAmericaWorldPolice, 447
FullMetalJacket, 447
TheShining, 445
MinorityReport, 444
ReservoirDogs, 444
SnowWhiteAndTheHuntsman, 444
TheRock, 443
IRobot, 442
HarryPotterAndTheDeathlyHallows, 440
AClockworkOrange, 440
FromRussiaWithLove, 438
ForYourEyesOnly, 437
WildWildWest, 437
Highlander, 436
LiveAndLetDie, 433
TheLostWorldJurassicPark, 432
AntMan, 430
ScoobyDoo, 430
MuppetTreasureIsland, 428
TerminatorGenisys, 426
TheCrow, 426
AViewToAKill, 425
YoungFrankenstein, 425
BirdsOfPrey2020, 424
HocusPocus, 424
BladeRunner2049, 423
TheHitchhikersGuideToTheGalaxy, 423
FerrisBuellersDayOff, 423
YouOnlyLiveTwice, 422
Dragonheart, 421
Taken, 421
FreddyVsJason, 421
TheHangover, 421
SherlockHolmesAGameOfShadows, 419
LawrenceOfArabia, 418
KnivesOut, 418
Machete, 418
Thunderball, 416
RobinHoodPrinceOfThieves, 416
CharlieAndTheChocolateFactory, 416
BramStokersDracula, 416
TheMuppetMovie, 415
GhostbustersII, 415
SuperMarioBros, 415
RobinHoodMenInTights, 414
TheExpendables, 414
MissionImpossibleFallout, 412
OnHerMajestysSecretService, 411
TheQuickAndTheDead, 411
TheGoonies, 409
Octopussy, 408
Goodfellas, 407
TheProfessional, 407
Scarface1983, 407
Stargate, 407
HowTheGrinchStoleChristmas, 407
FantasticBeastsAndWhereToFindThem, 406
Armageddon, 406
TheFugitive, 406
TwentyEightDaysLater, 405
Daredevil, 404
DirtyHarry, 402
NightAtTheMuseum, 401
Grease, 400
PansLabyrinth, 400
AmericanPie, 399
TheAmazingSpiderMan2, 399
Idiocracy, 399
CloudAtlas, 399
TheShawshankRedemption, 399
GangsOfNewYork, 398
AKnightsTale, 396
TheHuntForRedOctober, 396
Joker2019, 396
TheTenCommandments, 395
LittleShopOfHorrors, 395
ItChapterTwo, 394
Equilibrium, 394
UHF, 394
Stardust, 393
KongSkullIsland, 393
Predators, 393
EscapeFromNewYork, 392
TheMatrixRevolutions, 391
GroundhogDay, 390
PokemonDetectivePikachu, 390
TheMightyDucks, 389
Se7en, 388
SchindlersList, 387
TheLastStarfighter, 387
TheLivingDaylights, 384
ConAir, 383
Bumblebee, 383
FirstBlood, 383
TheHobbitTheBattleOfTheFiveArmies, 382
